t,yt,y(t-1),xt
1,30.2,,198.60268
2,28.2,30.2,197.60132
3,26.6,28.2,198.60268
4,25,26.6,201.94054
5,26,25,205.2784
6,26,26,208.61626
7,26,26,208.61626
8,24,26,205.2784
9,23,24,200.2716
10,24,23,196.93375
11,25,24,198.60268
12,26,25,200.2716
13,27,26,203.60947
14,29,27,205.2784
15,29,29,205.2784
16,29,29,205.2784
17,29,29,203.60947
18,28,29,201.94054
19,27,28,200.2716
20,27,27,201.94054
21,27,27,201.94054
22,27,27,201.94054
23,27,27,200.2716
24,27,27,200.2716
25,27,27,200.2716
26,28,27,201.94054
27,29,28,203.60947
28,31,29,205.2784
29,31,31,206.94733
30,32,31,206.94733
31,32,32,205.2784
32,31,32,206.94733
33,31,31,206.94733
34,30,31,208.61626
35,30,30,206.94733
36,29,30,205.2784
37,27,29,203.60947
38,26,27,200.2716
39,25,26,200.2716
40,25,25,198.60268
41,24,25,196.93375
42,24,24,195.26482
43,25,24,195.26482
44,25,25,195.26482
45,25,25,196.93375
46,26,25,198.60268
47,26,26,198.60268
48,27,26,198.60268
49,27,27,198.60268
50,27,27,198.60268
51,27,27,200.2716
52,28,27,200.2716
53,28,28,200.2716
54,27,28,200.2716
55,27,27,198.60268
56,26,27,198.60268
57,25,26,198.60268
58,23,25,198.60268
59,22,23,196.93375
60,21,22,193.59589
61,20,21,193.59589
62,19,20,191.92696
63,19,19,191.92696
64,20,19,191.92696
65,21,20,191.92696
66,21,21,191.92696
67,21,21,191.92696
68,22,21,193.59589
69,24,22,195.26482
70,26,24,196.93375
71,27,26,198.60268
72,28,27,198.60268
