Hari,Penjualan
1,211
2,197
3,211
4,197
5,211
6,197
7,211
8,197
9,211
10,197
11,211
12,197
13,211
14,197
15,211
16,197
17,211
18,197
19,211
20,197
21,211
22,197
23,211
24,197
25,211
26,197
27,211
28,197
29,211
30,197
31,211
32,197
33,211
34,197
35,211
36,197
37,211
38,197
39,211
40,197
41,211
42,197
43,211
44,197
45,211
46,197
47,211
48,197
49,211
50,197
51,211
52,197
53,211
54,197
55,211
56,197
57,211
58,197
59,211
60,197
61,211
62,197
63,211
64,197
65,211
66,197
67,211
68,197
69,211
70,197
71,211
72,197
73,211
74,197
75,211
76,197
77,211
78,197
79,211
80,197
81,211
82,197
83,211
84,197
85,211
86,197
87,211
88,197
89,211
90,197
91,211
92,197
93,211
94,197
95,211
96,197
97,211
98,197
99,211
100,197
101,211
102,197
103,211
104,197
105,211
106,197
107,211
108,197
109,211
110,197
111,211
112,197
113,211
114,197
115,211
116,197
117,211
118,197
119,211
120,197
121,211
122,197
123,211
124,197
125,211
126,197
127,211
128,197
129,211
130,197
131,211
132,197
133,211
134,197
135,211
136,197
137,211
138,197
139,211
140,197
141,211
142,197
143,211
144,197
145,211
146,197
147,211
148,197
149,211
150,197
151,211
152,197
153,211
154,197
155,211
156,197
157,211
158,197
159,211
160,197
161,211
162,197
163,211
164,197
165,211
166,197
167,211
168,197
169,211
170,197
171,211
172,197
173,211
174,197
175,211
176,197
177,211
178,197
179,211
180,197
181,211
182,197
183,211
184,197
185,211
186,197
187,211
188,197
189,211
190,197
191,211
192,197
193,211
194,197
195,211
196,197
197,211
198,197
199,211
200,197
201,211
202,197
203,211
204,197
205,211
206,197
207,211
208,197
209,211
210,197
211,211
212,197
213,211
214,197
215,211
216,197
217,211
218,197
219,211
220,197
221,211
222,197
223,211
224,197
225,211
226,197
227,211
228,197
229,211
230,197
231,211
232,197
233,211
234,197
235,211
236,197
237,211
238,197
239,211
240,197
241,211
242,197
243,211
244,197
245,211
246,197
247,211
248,197
249,211
250,197
251,211
252,197
253,211
254,197
255,211
256,197
257,211
258,197
259,211
260,197
261,211
262,197
263,211
264,197
265,211
266,197
267,211
268,197
269,211
270,197
271,211
272,197
273,211
274,197
275,211
276,197
277,211
278,197
279,211
280,197
281,211
282,197
283,211
284,197
285,211
286,197
287,211
288,197
289,211
290,197
291,211
292,197
293,211
294,197
295,211
296,197
297,211
298,197
299,211
300,197
301,211
302,197
303,211
304,197
305,211
306,197
307,211
308,197
309,211
310,197
311,211
312,197
313,211
314,197
315,211
316,197
317,211
318,197
319,211
320,197
321,211
322,197
323,211
324,197
325,211
326,197
327,211
328,197
329,211
330,197
331,211
332,197
333,211
334,197
335,211
336,197
337,211
338,197
339,211
340,197
341,211
342,197
343,211
344,197
345,211
346,197
347,211
348,197
349,211
350,197
351,211
352,197
353,211
354,197
355,211
356,197
357,211
358,197
359,211
360,197
361,211
362,197
363,211
364,197
365,211
366,197
367,211
368,197
369,211
370,197
371,211
372,197
373,211
374,197
375,211
376,197
377,211
378,197
379,211
380,197
381,211
382,197
383,211
384,197
385,211
386,197
387,211
388,197
389,211
390,197
391,211
392,197
393,211
394,197
395,211
396,197
397,211
398,197
399,211
400,197
401,211
402,197
403,211
404,197
405,211
406,197
407,211
408,197
409,211
410,197
411,211
412,197
413,211
414,197
415,211
416,197
417,211
418,197
419,211
420,197
421,211
422,197
423,211
424,197
425,211
426,197
427,211
428,197
429,211
430,197
431,211
432,197
433,211
434,197
435,211
436,197
437,211
438,197
439,211
440,197
441,211
442,197
443,211
444,197
445,211
446,197
447,211
448,197
449,211
450,197
451,211
452,197
453,211
454,197
455,211
456,197
457,211
458,197
459,211
460,197
461,211
462,197
463,211
464,197
465,211
466,197
467,211
468,197
469,211
470,197
471,211
472,197
473,211
474,197
475,211
476,197
477,211
478,197
479,211
480,197
481,211
482,197
483,211
484,197
485,211
486,197
487,211
488,197
489,211
490,197
491,211
492,197
493,211
494,197
495,211
496,197
497,211
498,197
499,211
500,197
